Дата,Максимальная температура,Минимальная температура,Средняя температура,Скорость ветра,Эффективная температура
01.01.2019,-3,-11.8,-4.4,6,-10.4
02.01.2019,-2,-3.8,-2.5,3,-6.3
03.01.2019,-2.9,-4.5,-3.1,2,-6.3
04.01.2019,-3.9,-6.3,-4.6,1,-7.3
05.01.2019,-6,-8.6,-6.8,2,-10.4
06.01.2019,-8.9,-12,-10.6,2,-14.5
07.01.2019,-6,-13.4,-7.8,4,-12.8
08.01.2019,-5,-6.5,-5.8,3,-9.9
09.01.2019,-5.7,-7.8,-6.2,3,-10.4
10.01.2019,-8,-13,-10.7,3,-15.3
11.01.2019,-7,-13.2,-8.3,4,-13.4
12.01.2019,-3.8,-8,-5.9,3,-10.1
13.01.2019,-4,-5.5,-4.4,3,-8.5
14.01.2019,-2,-6.4,-3.3,3,-7.2
15.01.2019,-1.8,-3,-2.2,4,-6.7
16.01.2019,-3.1,-6,-5.2,4,-10
17.01.2019,-1.8,-7,-4.9,3,-9
18.01.2019,0.1,-15.4,-5.6,4,-10.5
19.01.2019,-10.5,-15.8,-12.5,2,-16.6
20.01.2019,-4,-13.7,-6.7,3,-10.9
21.01.2019,-6.8,-19,-12.1,1,-15.5
22.01.2019,-13,-23,-18.4,2,-22.9
23.01.2019,-12.5,-18,-15.4,3,-20.4
24.01.2019,-8,-21,-12.5,2,-16.6
25.01.2019,-17,-23.5,-20.7,1,-24.7
26.01.2019,-10,-23.6,-13.6,2,-17.8
27.01.2019,-8.6,-16.5,-10.1,3,-14.6
28.01.2019,-14.5,-26.6,-19.7,1,-23.6
29.01.2019,-3.7,-17.1,-6.8,3,-11.1
30.01.2019,-2,-4.6,-2.9,4,-7.4
31.01.2019,-2.7,-4.5,-3.3,1,-5.9
01.02.2019,-3.8,-7,-5,3,-9.1
02.02.2019,-4.8,-7,-5.8,2,-9.3
03.02.2019,-4,-5.5,-4.8,3,-8.9
04.02.2019,0,-5.4,-3.6,3,-7.5
05.02.2019,0.4,-7,-4.5,4,-9.2
06.02.2019,-4.9,-8.5,-5.8,3,-10
07.02.2019,-3.6,-7,-5.2,1,-8
